Property, Medium, Unit
Localized Surface Plasmon Resonance (LSPR) index, -, 
**Localized Surface Plasmon Resonance (LSPR) index**, **Human serum**, 
LSPR peak position (nm), -, $nm$
**Polydispersity index**, **-**, $nm$
Polydispersity index, Human serum, $nm$
**Core size**, **-**, $nm$
**Autot (ICP-AES)**, **Human serum**, $nmol$
Total surface area (SAtot), Human serum, $cm^2$
Protein density, Human serum, $ug/cm^2$
**Total protein (BCA assay)**, **Human serum**, $ug$
**ZETA POTENTIAL**, **-**, $mV$
**ZETA POTENTIAL**, **Human serum**, $mV$
Z-Average Hydrodynamic Diameter, -, $nm$
**Z-Average Hydrodynamic Diameter**, **Human serum**, $nm$
Volume Mean Hydrodynamic Diameter, -, $nm$
**Volume Mean Hydrodynamic Diameter**, **Human serum**, $nm$
Number Mean Hydrodynamic Diameter, -, $nm$
Number Mean Hydrodynamic Diameter, Human serum, $nm$
Intensity Mean Hydrodynamic Diameter, -, $nm$
**Intensity Mean Hydrodynamic Diameter**, **Human serum**, $nm$
