  Tukey multiple comparisons of means
    95% family-wise confidence level

Fit: aov(formula = rmse ~ names)

$names
                                                  diff          lwr
MP2D.rf-MP2D.pls                         -0.3527879936 -0.665674361
MP2D.wa-MP2D.pls                         -0.0349737316 -0.347860099
PCHEM.pls-MP2D.pls                        0.1524621885 -0.160424178
PCHEM.rf-MP2D.pls                        -0.2851663699 -0.598052737
PCHEM.wa-MP2D.pls                        -0.1101411252 -0.423027492
PCHEM_Proteomics.pls-MP2D.pls            -0.2554683871 -0.568354754
PCHEM_Proteomics.rf-MP2D.pls             -0.3620157185 -0.674902085
PCHEM_Proteomics.wa-MP2D.pls             -0.2843038354 -0.597190202
Proteomics.pls-MP2D.pls                  -0.3316593572 -0.644545724
Proteomics.rf-MP2D.pls                   -0.3832284344 -0.696114801
Proteomics.wa-MP2D.pls                   -0.3444288812 -0.657315248
MP2D.wa-MP2D.rf                           0.3178142620  0.004927895
PCHEM.pls-MP2D.rf                         0.5052501821  0.192363815
PCHEM.rf-MP2D.rf                          0.0676216237 -0.245264743
PCHEM.wa-MP2D.rf                          0.2426468684 -0.070239499
PCHEM_Proteomics.pls-MP2D.rf              0.0973196065 -0.215566760
PCHEM_Proteomics.rf-MP2D.rf              -0.0092277249 -0.322114092
PCHEM_Proteomics.wa-MP2D.rf               0.0684841582 -0.244402209
Proteomics.pls-MP2D.rf                    0.0211286364 -0.291757731
Proteomics.rf-MP2D.rf                    -0.0304404408 -0.343326808
Proteomics.wa-MP2D.rf                     0.0083591123 -0.304527255
PCHEM.pls-MP2D.wa                         0.1874359202 -0.125450447
PCHEM.rf-MP2D.wa                         -0.2501926383 -0.563079005
PCHEM.wa-MP2D.wa                         -0.0751673935 -0.388053760
PCHEM_Proteomics.pls-MP2D.wa             -0.2204946554 -0.533381022
PCHEM_Proteomics.rf-MP2D.wa              -0.3270419869 -0.639928354
PCHEM_Proteomics.wa-MP2D.wa              -0.2493301037 -0.562216471
Proteomics.pls-MP2D.wa                   -0.2966856256 -0.609571993
Proteomics.rf-MP2D.wa                    -0.3482547027 -0.661141070
Proteomics.wa-MP2D.wa                    -0.3094551496 -0.622341517
PCHEM.rf-PCHEM.pls                       -0.4376285584 -0.750514925
PCHEM.wa-PCHEM.pls                       -0.2626033137 -0.575489681
PCHEM_Proteomics.pls-PCHEM.pls           -0.4079305756 -0.720816943
PCHEM_Proteomics.rf-PCHEM.pls            -0.5144779071 -0.827364274
PCHEM_Proteomics.wa-PCHEM.pls            -0.4367660239 -0.749652391
Proteomics.pls-PCHEM.pls                 -0.4841215457 -0.797007913
Proteomics.rf-PCHEM.pls                  -0.5356906229 -0.848576990
Proteomics.wa-PCHEM.pls                  -0.4968910698 -0.809777437
PCHEM.wa-PCHEM.rf                         0.1750252447 -0.137861122
PCHEM_Proteomics.pls-PCHEM.rf             0.0296979828 -0.283188384
PCHEM_Proteomics.rf-PCHEM.rf             -0.0768493486 -0.389735716
PCHEM_Proteomics.wa-PCHEM.rf              0.0008625345 -0.312023832
Proteomics.pls-PCHEM.rf                  -0.0464929873 -0.359379354
Proteomics.rf-PCHEM.rf                   -0.0980620645 -0.410948431
Proteomics.wa-PCHEM.rf                   -0.0592625114 -0.372148878
PCHEM_Proteomics.pls-PCHEM.wa            -0.1453272619 -0.458213629
PCHEM_Proteomics.rf-PCHEM.wa             -0.2518745934 -0.564760960
PCHEM_Proteomics.wa-PCHEM.wa             -0.1741627102 -0.487049077
Proteomics.pls-PCHEM.wa                  -0.2215182320 -0.534404599
Proteomics.rf-PCHEM.wa                   -0.2730873092 -0.585973676
Proteomics.wa-PCHEM.wa                   -0.2342877561 -0.547174123
PCHEM_Proteomics.rf-PCHEM_Proteomics.pls -0.1065473315 -0.419433698
PCHEM_Proteomics.wa-PCHEM_Proteomics.pls -0.0288354483 -0.341721815
Proteomics.pls-PCHEM_Proteomics.pls      -0.0761909701 -0.389077337
Proteomics.rf-PCHEM_Proteomics.pls       -0.1277600473 -0.440646414
Proteomics.wa-PCHEM_Proteomics.pls       -0.0889604942 -0.401846861
PCHEM_Proteomics.wa-PCHEM_Proteomics.rf   0.0777118832 -0.235174484
Proteomics.pls-PCHEM_Proteomics.rf        0.0303563613 -0.282530006
Proteomics.rf-PCHEM_Proteomics.rf        -0.0212127158 -0.334099083
Proteomics.wa-PCHEM_Proteomics.rf         0.0175868373 -0.295299530
Proteomics.pls-PCHEM_Proteomics.wa       -0.0473555219 -0.360241889
Proteomics.rf-PCHEM_Proteomics.wa        -0.0989245990 -0.411810966
Proteomics.wa-PCHEM_Proteomics.wa        -0.0601250459 -0.373011413
Proteomics.rf-Proteomics.pls             -0.0515690772 -0.364455444
Proteomics.wa-Proteomics.pls             -0.0127695240 -0.325655891
Proteomics.wa-Proteomics.rf               0.0387995531 -0.274086814
                                                  upr     p adj
MP2D.rf-MP2D.pls                         -0.039901627 0.0152452
MP2D.wa-MP2D.pls                          0.277912635 0.9999998
PCHEM.pls-MP2D.pls                        0.465348555 0.8712703
PCHEM.rf-MP2D.pls                         0.027719997 0.1049091
PCHEM.wa-MP2D.pls                         0.202745242 0.9856866
PCHEM_Proteomics.pls-MP2D.pls             0.057417980 0.2110754
PCHEM_Proteomics.rf-MP2D.pls             -0.049129352 0.0113886
